Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Springfield IL,94,5267,2566,Hannibal,80,5017,2613,106
Washington,125,7212,2363,Richmond,52,7221,2646,106
Biggs,119,802,1213,Pendleton,67,1081,1258,107
Butte,71,1955,1317,Livingston,143,2181,1568,107
Fresno,143,612,3086,Bakersfield,54,695,3388,107
Seattle,64,682,768,Ellensburg,117,896,939,107
Chetumal,110,1862,967,Campeche,100,1730,914,108
Ft. Worth,53,4122,4122,Cisco,85,3849,4194,108
Hannibal,80,5017,2613,Jefferson City,90,4914,2870,108
Huizache,50,3810,6298,San Luis Potos¡,82,3987,6419,108
Portland,141,7860,1131,Boston,98,7845,1429,108
Pueblo,114,3006,3017,Raton,117,3036,3313,108
Toledo,146,6129,2021,Ft. Wayne,134,5916,2189,108
Denver,125,2965,2706,Pueblo,114,3006,3017,109
Las Vegas,51,1335,3328,Needles,133,1382,3603,109
New York,136,7549,1877,Philadelphia,141,7410,2084,109
Portland,141,545,1179,Eugene,138,415,1465,109
Salina KS,131,1892,2862,Green River,91,2214,2845,109
Chetumal,110,1862,967,Felipe Carrillo Puerto,60,1881,888,111
Columbus,137,6277,2348,Cincinnati,52,6077,2557,111
Escanaba,123,5458,1279,Green Bay,100,5369,1550,111
Minot,86,3501,952,Bismarck,84,3583,1238,111
Augusta,115,6679,3639,Charleston SC,140,7039,3701,112
Bakersfield,54,695,3388,Los Angeles,62,775,3677,112
Bonners Ferry,92,1517,683,Spokane,80,1340,884,112
Charleston WV,66,6552,2638,Bluefield,87,6650,2848,112
Columbia,148,6811,3497,Charleston SC,140,7039,3701,112
Dakley,142,3524,2840,Kit Carson,68,3279,2926,112
Gainesville,74,6769,4480,Orlando,82,6953,4571,112
Indianapolis,82,5808,2474,Cincinnati,52,6077,2557,112
Missoula,82,1784,1115,Helena,149,2037,1196,112
Tucumcari,67,3135,3662,Amarillo,149,3440,3647,113
Vaughn,61,2891,3775,Clovis,103,3226,3817,113
Indianapolis,82,5808,2474,Louisville,105,5924,2780,114
Knoxville,113,6293,3195,Chattanoga,107,6109,3410,114
Philadelphia,141,7410,2084,Harrisburg,101,7159,2083,114
Chattanoga,107,6109,3410,Atlanta,94,6280,3650,115
Chihuahua,130,707,332,Janos,90,590,177,115
Eugene,138,415,1465,Bend,147,659,1526,115
Havre,74,2379,825,Great Falls,141,2163,1026,115
Knoxville,113,6293,3195,Asheville,69,6524,3228,115
Livingston,143,2181,1568,Bilings,64,2502,1417,115
Puebla,90,4242,7152,Iz£car de Matamoros,117,4257,7299,115
Hannibal,80,5017,2613,St. Louis,127,5217,2808,116
San Antonio,109,4012,4842,V¡ctoria,145,4270,4956,116
Tulsa,121,4374,3420,Ft. Smith,145,4631,3583,116
Calais,74,8147,694,HullsCove,144,8091,890,117
Green Bay,100,5369,1550,Milwaukee,112,5434,1856,117
Phoenix,92,1767,3923,Tucson,88,1924,4189,117
Springdale,106,1696,3182,Page,114,1980,3283,117
Amarillo,149,3440,3647,Lubbock,113,3439,4012,118
Birmigham,131,5888,3809,Columbus,137,5631,3853,118
Casper,57,2787,2059,Rawlins,61,2637,2276,118
Corinth,57,5582,3550,Columbus,137,5631,3853,118
Ellensburg,117,896,939,Biggs,119,802,1213,118
Rawlins,61,2637,2276,Craig,144,2573,2536,118
TwinFalls,73,1600,1998,Wells,66,1498,2291,118
Cleveland,73,6409,2005,Toledo,146,6129,2021,119
